dimension ,coords ,patches ,instructions ,coordinates ,cleanedPatches ,responseBody ,responseCode
"[5,5]","[1,2] ","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[ 1, 3 ]",1," {""coords"":[1, 3],""patches"":1} ",200
"[5,5]","[2,1] ","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[1, 2] ",2," {""coords"":[1, 2],""patches"":2} ",200
"[5,5]","[2,1] ","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[1, 2] ",2," {""coords"":[1, 2],""patches"":2} ",200
"[1,1]","[2,1] ","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[1, 2] ",1," {""coords"":[0, 0],""patches"":1} ",400
"[2,2] ","[0,0] ","[[0,1]] ",NN ,"[0, 2] ",1," {""coords"":[0, 2],""patches"":1} ",200
"[2,2] ","[0,0] ","[[1,0]] ",EE ,"[2, 0] ",1," {""coords"":[2, 0],""patches"":1} ",200
"[2,2] ","[0,0] ","[[0,2]] ",NN ,"[0, 2] ",1," {""coords"":[0, 2],""patches"":1} ",200
"[2,2] ","[0,0] ","[[2,0]] ",EE ,"[2, 0] ",1," {""coords"":[2, 0],""patches"":1} ",200
"[2,2] ","[1,0] ","[[1,1],[2,1]] ",NE ,"[2, 1] ",2," {""coords"":[2, 1],""patches"":2} ",200
"[4,4] ","[1,1] ","[[1,1],[1,2],[1,3],[2,3],[3,3],[3,2],[3,1],[2,1]]",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",200
"[4,4] ","[3,1] ","[[3,2]] ",SESENN ,"[3, 2] ",1," {""coords"":[3, 2],""patches"":1} ",200
"[4,4] ",,"[[3,2]] ",SESENN ,"[3, 2] ",1,,400
"[4,4] ","[3,1] ",[] ,SESENN ,"[3, 1] ",0," {""coords"":[3, 1],""patches"":0} ",400
"[4,4] ","[3,1] ",,SESENN ,"[3, 1] ",0," {""coords"":[3, 1],""patches"":0} ",400
"[4,4] ","[3,1] ","[[3,2]] ",,"[3, 2] ",1," {""coords"":[3, 2],""patches"":1} ",400
"[4,4] ","[1,1] ","[[3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",200
"[-4,-4] ","[3,1]","[[3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[4,4] ","[-3,-1] ","[[3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[-4,4] ","[3,1]","[[3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[4,4] ","[-3,1]","[[3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[4,4] ","[3,1]","[[-3,2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[4,4] ","[3,1]","[[-3,-2]] ",NNEESSWW ,"[1, 1]",8," {""coords"":[1, 1],""patches"":8} ",400
"[10,10]","[2,3]","[[5,5]]",NNNNEEEEEESSSSWWWW,"[3, 3]",0," {""coords"":[3, 4],""patches"":0} ",200
"[10,10]","[2,2]","[[6,3],[4,5],[7,2]]",NNNNNNNEESSSSSSEENNNN,"[6,7]",2," {""coords"":[6, 7],""patches"":2} ",200
"[10,10]","[2,2]","[[6,3],[4,5],[7,2]]",nnnnnnneesssssseennnn,"[6,7]",2," {""coords"":[6, 7],""patches"":2} ",200
"[5.5,5.5]","[1.5,2]","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[ 1, 3 ]",1," {""coords"":[1, 3],""patches"":1} ",200
"[5,7]","[1,2]","[[1,0],[2,2],[2,3]] ",NNESEESWNWW ,"[ 1, 3 ]",1," {""coords"":[1, 3],""patches"":1} ",200